metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg % ident	avg align len	# hits	
4698560.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	4	-22.00	85.68	55.75	3	
4698570.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	3	-11.67	88.89	37.67	3	
4698546.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	3	-7.00	70.35	36.00	2	
4698578.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	7	-13.78	74.67	52.33	5	
4698553.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	2	-23.50	83.79	59.00	2	
4698542.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	4	-17.00	83.11	54.25	3	
4698574.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	5	-19.80	80.05	58.80	4	
4698551.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	3	-10.33	80.90	39.33	3	
4698569.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	4	-27.25	90.65	63.75	3	
4698548.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	3	-15.00	89.68	43.67	2	
4698582.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	6	-18.17	70.08	65.17	4	
4698577.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	5	-13.20	81.48	42.60	3	
4698560.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	33	-22.00	93.97	53.84	9	
4698570.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	13	-25.00	92.89	59.92	3	
4698546.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	9	-21.20	89.33	53.80	4	
4698578.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	59	-21.68	89.88	54.61	9	
4698553.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	28	-24.44	93.13	58.70	5	
4698542.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	15	-15.64	88.06	44.93	7	
4698574.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	9	-21.30	89.34	53.90	4	
4698551.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	25	-17.79	94.69	46.00	7	
4698569.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	26	-25.52	91.85	60.96	5	
4698548.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	46	-18.60	88.92	50.51	9	
4698554.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	8	-20.50	94.69	51.12	2	
4698562.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	6	-23.00	96.59	55.67	2	
4698582.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	55	-19.08	91.86	49.96	10	
4698577.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Alkylphosphonate utilization operon protein PhnA	41	-21.29	90.10	53.93	9	
4698560.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	25	-14.27	82.03	47.86	7	
4698570.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	9	-22.22	79.67	63.89	8	
4698546.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	27	-18.96	77.82	59.00	12	
4698578.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	38	-21.47	82.48	61.17	9	
4698553.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	26	-20.12	85.56	55.04	12	
4698542.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	20	-14.20	84.48	44.75	8	
4698574.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	13	-20.50	76.90	62.14	10	
4698551.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	18	-14.12	80.55	47.00	8	
4698569.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	33	-19.00	83.07	55.47	14	
4698548.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	39	-17.74	77.90	56.23	15	
4698554.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	2	-15.00	74.69	52.50	2	
4698562.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	3	-26.00	80.11	71.00	3	
4698582.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	83	-19.17	78.31	59.24	17	
4698577.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	56	-15.59	81.04	50.05	14	
