metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698556.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	4	1	-14.00	75.90	49.67	3	1	
4698541.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	3	3	-26.00	97.46	56.33	1	1	
4698576.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	2	2	-21.00	100.00	50.00	2	2	
4698548.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	7	3	-15.14	84.44	43.14	2	1	
4698582.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	9	3	-16.86	80.19	49.72	3	1	
4698563.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	5	4	-21.40	91.49	52.20	3	2	
4698575.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	2	2	-41.00	100.00	77.00	1	1	
4698570.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	5	3	-15.80	86.01	44.60	3	1	
4698567.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	1	1	-25.00	100.00	51.00	1	1	
4698542.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	6	2	-13.00	82.52	39.80	3	1	
4698549.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	4	4	-11.00	98.13	33.50	2	2	
4698565.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	1	1	-27.00	98.25	57.00	1	1	
4698546.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	7	1	-8.67	73.65	35.83	4	1	
4698572.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	1	1	-38.00	100.00	74.00	1	1	
4698573.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	4	4	-33.50	99.47	67.25	1	1	
4698560.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	3	2	-15.67	90.70	44.00	3	2	
4698553.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	6	5	-12.17	93.60	36.17	3	2	
4698569.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	5	5	-21.20	97.81	50.80	2	2	
4698577.3	Stress Response	-	Commensurate regulon activation	Regulatory protein SoxS	5	3	-9.60	91.54	31.80	4	2	
