metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg % ident	avg align len	# hits	
4698560.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	112	-23.94	89.57	59.64	2	
4698570.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	31	-24.03	90.12	59.35	2	
4698546.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	29	-24.62	91.33	59.48	2	
4698578.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	101	-25.06	90.37	61.25	2	
4698553.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	89	-23.35	89.95	58.33	2	
4698542.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	25	-22.52	90.71	56.96	2	
4698574.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	31	-24.90	90.10	60.87	2	
4698551.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	90	-21.51	89.77	55.07	2	
4698569.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	91	-24.23	90.65	59.57	2	
4698548.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	90	-21.88	91.54	55.15	2	
4698554.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	20	-20.15	89.26	53.10	2	
4698562.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	21	-19.33	91.51	50.72	2	
4698582.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	106	-23.54	90.40	59.09	2	
4698577.3	Stress Response	-	Bacterial hemoglobins	Cyanoglobin	88	-22.08	90.43	56.11	2	
4698560.3	Stress Response	-	Bacterial hemoglobins	Flavohemoprotein	3	-9.00	67.44	43.00	1	
4698578.3	Stress Response	-	Bacterial hemoglobins	Flavohemoprotein	2	-8.00	66.64	42.00	1	
4698553.3	Stress Response	-	Bacterial hemoglobins	Flavohemoprotein	1	-9.00	67.44	43.00	1	
4698574.3	Stress Response	-	Bacterial hemoglobins	Flavohemoprotein	2	-9.00	67.44	43.00	1	
4698569.3	Stress Response	-	Bacterial hemoglobins	Flavohemoprotein	2	-6.00	66.75	37.50	1	
4698548.3	Stress Response	-	Bacterial hemoglobins	Flavohemoprotein	1	-9.00	67.44	43.00	1	
4698554.3	Stress Response	-	Bacterial hemoglobins	Flavohemoprotein	1	-9.00	67.44	43.00	1	
4698562.3	Stress Response	-	Bacterial hemoglobins	Flavohemoprotein	2	-7.00	67.06	39.50	1	
4698582.3	Stress Response	-	Bacterial hemoglobins	Flavohemoprotein	1	-9.00	67.44	43.00	1	
