metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698541.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	29	2	-22.15	94.28	56.35	8	1	
4698558.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	26	1	-23.75	90.61	59.00	11	1	
4698582.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	316	4	-22.69	95.58	55.42	26	1	
4698581.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	86	1	-25.39	95.25	60.70	17	1	
4698548.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	236	2	-22.53	95.71	54.94	23	1	
4698579.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	37	3	-25.12	94.64	60.53	7	1	
4698578.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	268	2	-24.72	94.32	59.58	21	1	
4698546.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	93	0	-20.75	93.91	52.75	14	1	
4698549.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	100	8	-28.21	94.14	66.84	16	1	
4698577.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	231	3	-20.77	95.66	52.27	23	1	
4698574.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	87	0	-23.11	94.96	56.48	18	1	
4698560.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	225	1	-23.07	96.52	55.75	19	1	
4698547.3	Stress Response	-	Hfl operon	GTP-binding protein HflX	76	2	-24.43	93.90	59.69	14	1	
4698541.3	Stress Response	-	Hfl operon	HflC protein	22	1	-26.38	92.97	64.52	6	1	
4698582.3	Stress Response	-	Hfl operon	HflC protein	146	12	-24.91	93.18	62.02	10	1	
4698581.3	Stress Response	-	Hfl operon	HflC protein	63	4	-28.84	94.82	67.94	5	1	
4698548.3	Stress Response	-	Hfl operon	HflC protein	125	10	-24.07	93.29	60.34	9	1	
4698579.3	Stress Response	-	Hfl operon	HflC protein	22	1	-26.36	91.44	65.27	5	1	
4698572.3	Stress Response	-	Hfl operon	HflC protein	30	1	-24.38	94.91	60.07	5	1	
4698578.3	Stress Response	-	Hfl operon	HflC protein	151	5	-25.08	93.54	61.53	9	1	
4698549.3	Stress Response	-	Hfl operon	HflC protein	70	16	-26.07	90.24	66.13	7	1	
4698577.3	Stress Response	-	Hfl operon	HflC protein	121	10	-24.56	92.98	61.24	9	1	
4698574.3	Stress Response	-	Hfl operon	HflC protein	36	1	-29.67	92.64	70.24	8	1	
4698576.3	Stress Response	-	Hfl operon	HflC protein	34	1	-23.38	95.89	58.53	4	1	
4698570.3	Stress Response	-	Hfl operon	HflC protein	26	1	-28.27	93.86	67.00	7	1	
4698563.3	Stress Response	-	Hfl operon	HflC protein	56	5	-29.84	95.18	69.32	4	1	
4698547.3	Stress Response	-	Hfl operon	HflC protein	68	15	-26.70	88.30	68.30	6	1	
4698545.3	Stress Response	-	Hfl operon	HflC protein	7	4	-23.43	82.08	66.14	4	1	
4698541.3	Stress Response	-	Hfl operon	HflK protein	25	2	-27.21	93.01	64.42	5	1	
4698575.3	Stress Response	-	Hfl operon	HflK protein	60	1	-28.23	94.64	64.57	7	1	
4698582.3	Stress Response	-	Hfl operon	HflK protein	170	13	-24.73	90.52	61.21	17	1	
4698581.3	Stress Response	-	Hfl operon	HflK protein	68	4	-29.61	94.41	66.76	9	1	
4698548.3	Stress Response	-	Hfl operon	HflK protein	137	11	-22.40	91.53	55.87	15	1	
4698579.3	Stress Response	-	Hfl operon	HflK protein	22	1	-25.73	93.92	60.41	6	1	
4698578.3	Stress Response	-	Hfl operon	HflK protein	176	5	-25.41	92.16	61.29	10	1	
4698549.3	Stress Response	-	Hfl operon	HflK protein	74	10	-26.14	89.40	64.70	6	1	
4698577.3	Stress Response	-	Hfl operon	HflK protein	132	5	-25.78	92.12	62.20	16	1	
4698574.3	Stress Response	-	Hfl operon	HflK protein	46	1	-24.43	91.35	60.89	8	1	
4698570.3	Stress Response	-	Hfl operon	HflK protein	39	2	-22.13	93.40	54.69	9	1	
4698551.3	Stress Response	-	Hfl operon	HflK protein	169	2	-24.50	92.42	59.44	12	1	
4698573.3	Stress Response	-	Hfl operon	HflK protein	78	1	-30.01	95.03	66.95	6	1	
4698560.3	Stress Response	-	Hfl operon	HflK protein	133	3	-26.13	92.61	62.37	11	1	
4698563.3	Stress Response	-	Hfl operon	HflK protein	57	1	-31.35	95.08	68.95	6	1	
4698554.3	Stress Response	-	Hfl operon	HflK protein	21	1	-26.00	92.52	61.48	3	1	
4698547.3	Stress Response	-	Hfl operon	HflK protein	73	12	-26.11	90.01	63.92	8	1	
4698582.3	Stress Response	-	Hfl operon	RNA-binding protein Hfq	52	8	-20.92	94.87	52.71	12	1	
4698581.3	Stress Response	-	Hfl operon	RNA-binding protein Hfq	14	2	-18.21	96.57	48.22	4	1	
