Sample	treatment	cID	limitation	time	day
126NL5	T	NL5	N	0	0
126NL1	C	NL1	N	0	0
198NL5	T	NL5	N	12	72
198PL2	T	PL2	P	12	72
233NL5	T	NL5	N	16	100
198PL5	T	PL5	P	12	72
257NL1	C	NL1	N	19	148
257NL5	T	NL5	N	19	148
149NL5	T	NL5	N	05	23
257PL4	T	PL4	P	19	148
233PL1	C	PL1	P	16	100
233NL1	C	NL1	N	16	100
233PL3	C	PL3	P	16	100
233PL5	T	PL5	P	16	100
257PL1	C	PL1	P	19	148
257NL2	T	NL2	N	19	148
257PL5	T	PL5	P	19	148
198NL2	T	NL2	N	12	72
257PL3	C	PL3	P	19	148
233NL2	T	NL2	N	16	100
233PL4	T	PL4	P	16	100
233NL3	T	NL3	N	16	100
126PL4	T	PL4	P	0	0
149PL3	C	PL3	P	05	23
149PL1	C	PL1	P	05	23
126NL2	T	NL2	N	0	0
149PL2	T	PL2	P	05	23
149PL5	T	PL5	P	05	23
126PL5	T	PL5	P	0	0
198PL1	C	PL1	P	12	72
198PL4	T	PL4	P	12	72
198NL1	C	NL1	N	12	72
149NL3	T	NL3	N	05	23
149NL1	C	NL1	N	05	23
126PL2	T	PL2	P	0	0
257NL3	T	NL3	N	19	148
233PL2	T	PL2	P	16	100
257PL2	T	PL2	P	19	148
149PL4	T	PL4	P	05	23
126PL1	C	PL1	P	0	0
198NL3	T	NL3	N	12	72
126NL3	T	NL3	N	0	0
198PL3	C	PL3	P	12	72
149NL2	T	NL2	N	05	23
